metric, avg 
Recall@1_all, 0.805052327679538 
Recall@1_animals, 0.9064449064449065 
Recall@1_bodyparts, 0.6459143968871596 
Recall@1_clothing, 0.8573333333333333 
Recall@1_instruments, 0.8716216216216216 
Recall@1_other, 0.6940667490729295 
Recall@1_people, 0.860785408524102 
Recall@1_scene, 0.7603626943005182 
Recall@1_vehicles, 0.9031413612565445 
Recall@5_all, 0.9255864308913749 
Recall@5_animals, 0.9625779625779626 
Recall@5_bodyparts, 0.8326848249027238 
Recall@5_clothing, 0.9533333333333334 
Recall@5_instruments, 0.972972972972973 
Recall@5_other, 0.8624845488257108 
Recall@5_people, 0.9676158570630933 
Recall@5_scene, 0.8795336787564767 
Recall@5_vehicles, 0.9502617801047121 
Recall@10_all, 0.9393720678455432 
Recall@10_animals, 0.9708939708939709 
Recall@10_bodyparts, 0.8735408560311284 
Recall@10_clothing, 0.9613333333333334 
Recall@10_instruments, 0.9797297297297297 
Recall@10_other, 0.8868974042027195 
Recall@10_people, 0.9759910664433278 
Recall@10_scene, 0.8918393782383419 
Recall@10_vehicles, 0.9633507853403142 
Upper_bound_all, 0.9465175027066041 
Upper_bound_animals, 0.972972972972973 
Upper_bound_bodyparts, 0.9027237354085603 
Upper_bound_clothing, 0.9648888888888889 
Upper_bound_instruments, 0.9864864864864865 
Upper_bound_other, 0.8995673671199012 
Upper_bound_people, 0.9813884235994789 
Upper_bound_scene, 0.8950777202072538 
Upper_bound_vehicles, 0.9633507853403142 
