metric, avg 
Recall@1_all, 0.8313966077228437 
Recall@1_animals, 0.9168399168399168 
Recall@1_bodyparts, 0.7315175097276264 
Recall@1_clothing, 0.8884444444444445 
Recall@1_instruments, 0.8378378378378378 
Recall@1_other, 0.7163164400494437 
Recall@1_people, 0.8797692164526335 
Recall@1_scene, 0.8095854922279793 
Recall@1_vehicles, 0.900523560209424 
Recall@5_all, 0.9437026344280043 
Recall@5_animals, 0.9667359667359667 
Recall@5_bodyparts, 0.8715953307392996 
Recall@5_clothing, 0.9773333333333334 
Recall@5_instruments, 0.9527027027027027 
Recall@5_other, 0.8881334981458591 
Recall@5_people, 0.9746882560952913 
Recall@5_scene, 0.9177461139896373 
Recall@5_vehicles, 0.9476439790575916 
Recall@10_all, 0.9574160952724649 
Recall@10_animals, 0.972972972972973 
Recall@10_bodyparts, 0.9007782101167315 
Recall@10_clothing, 0.9835555555555555 
Recall@10_instruments, 0.9662162162162162 
Recall@10_other, 0.9134734239802225 
Recall@10_people, 0.9828773497115205 
Recall@10_scene, 0.9345854922279793 
Recall@10_vehicles, 0.9607329842931938 
Upper_bound_all, 0.9692529772645254 
Upper_bound_animals, 0.9792099792099792 
Upper_bound_bodyparts, 0.9416342412451362 
Upper_bound_clothing, 0.9853333333333333 
Upper_bound_instruments, 0.9797297297297297 
Upper_bound_other, 0.9394313967861557 
Upper_bound_people, 0.9897636329797134 
Upper_bound_scene, 0.9423575129533679 
Upper_bound_vehicles, 0.9685863874345549 
