metric, avg 
Recall@1_all, 0.8293756766510285 
Recall@1_animals, 0.9293139293139293 
Recall@1_bodyparts, 0.7101167315175098 
Recall@1_clothing, 0.8844444444444445 
Recall@1_instruments, 0.8783783783783784 
Recall@1_other, 0.7262051915945612 
Recall@1_people, 0.8749302065884981 
Recall@1_scene, 0.7946891191709845 
Recall@1_vehicles, 0.8979057591623036 
Recall@5_all, 0.9376398412125586 
Recall@5_animals, 0.9667359667359667 
Recall@5_bodyparts, 0.8696498054474708 
Recall@5_clothing, 0.9644444444444444 
Recall@5_instruments, 0.9797297297297297 
Recall@5_other, 0.88442521631644 
Recall@5_people, 0.9709659408151871 
Recall@5_scene, 0.9002590673575129 
Recall@5_vehicles, 0.9476439790575916 
Recall@10_all, 0.9498376037531577 
Recall@10_animals, 0.972972972972973 
Recall@10_bodyparts, 0.8891050583657587 
Recall@10_clothing, 0.9724444444444444 
Recall@10_instruments, 0.9864864864864865 
Recall@10_other, 0.9088380716934487 
Recall@10_people, 0.977107761027359 
Recall@10_scene, 0.9151554404145078 
Recall@10_vehicles, 0.9554973821989529 
Upper_bound_all, 0.9571273908336341 
Upper_bound_animals, 0.975051975051975 
Upper_bound_bodyparts, 0.914396887159533 
Upper_bound_clothing, 0.9755555555555555 
Upper_bound_instruments, 1.0 
Upper_bound_other, 0.9215080346106304 
Upper_bound_people, 0.9826912339475153 
Upper_bound_scene, 0.9196891191709845 
Upper_bound_vehicles, 0.9581151832460733 
